nome;dataNascimento;nif;morada;numMecanografico;anoAtual;email;password;primeiroLogin;estado
Guilherme Pereira;2004-10-23;919000111;Rua das Antas 12, Porto;260001;1;260001@issmf.pt;SHA256:02d7acc5ce1b71e1af8579312f0f93cf28df11806db5556551fc584c7d64cc37;false;ATIVO
Tomás Castro;2004-12-20;111222333;Av. Fernão de Magalhães 45, Porto;260002;1;260002@issmf.pt;SHA256:0e44e8844396f2cbb7650ca66706e99ab1d614f3fd95f2b7b304d0499ec3c326;false;ATIVO
Dinis Ferreira;2004-11-21;222333111;Rua de Cedofeita 8, Porto;260003;1;260003@issmf.pt;SHA256:5a12f645536f524b3f981a2d53f51a7729bbb24ecb8e4e7ea1f6f3d14c24d12f;false;ATIVO
Nuno Magalhães;2005-01-01;444555666;Rua da Constituição 77, Porto;260004;1;260004@issmf.pt;SHA256:e97cd3ecfe8af28d46626571ab638bd6a964acbaa2b2ddee6942c675d7585a85;false;ATIVO
Artur Santos;2004-02-02;333666999;Rua de Santa Catarina 3, Porto;260005;1;260005@issmf.pt;SHA256:f32ba61f3788c34a29b33a633e4be4a02153f089e27446618755bd791b0cef34;false;ATIVO
Sofia Rodrigues;2004-05-15;555444333;Rua do Almada 22, Porto;260006;1;260006@issmf.pt;SHA256:d906787629163d9d051818464d25e572e04711bc511dbdecf68c6016a57489d5;false;ATIVO
Mariana Costa;2005-03-08;666555444;Av. dos Aliados 55, Porto;260007;1;260007@issmf.pt;SHA256:cbe11705e69c47c469178c48cd29110e2473682e9d7b048d8b95bf1a19255090;false;ATIVO
Pedro Alves;2004-07-19;777666555;Rua Formosa 14, Porto;260008;1;260008@issmf.pt;SHA256:f0f65581337ca78f860e979f7f2ad2631094e27a00d2247399e37999613a9fa7;false;ATIVO
Ana Sousa;2004-09-25;888777666;Rua do Bolhão 33, Porto;260009;1;260009@issmf.pt;SHA256:83d603d1e4711667c2ea80ef23bffe873f094a14f9b5f5fed0449bc30b70857c;false;ATIVO
Miguel Oliveira;2005-04-11;999888777;Rua de Passos Manuel 9, Porto;260010;1;260010@issmf.pt;SHA256:00b4a5f49cc45e0ae79f6219cdba55434132745bef8ce19fea6a1987c7b82ecf;false;ATIVO
Beatriz Lima;2004-08-30;123123123;Rua do Heroísmo 67, Porto;260011;1;260011@issmf.pt;SHA256:e1dcca00f8fc43caaa446b2633e57454bf2a5451d6b093a6348827bcdc2ebabe;false;ATIVO
Rodrigo Martins;2005-06-17;234234234;Av. de França 21, Porto;260012;1;260012@issmf.pt;SHA256:4ab9176e2d15ccb4eccd8f2cff5383c681a208992d5dcc7c034b316f4fef22a4;false;ATIVO
Inês Carvalho;2004-01-28;345345345;Rua Sá da Bandeira 88, Porto;260013;1;260013@issmf.pt;SHA256:c6d7024516247ce9da36440058524fdea26f3ace1c060aac64c47f45675860a5;false;ATIVO
Diogo Fernandes;2005-10-03;456456456;Rua da Firmeza 44, Porto;260014;1;260014@issmf.pt;SHA256:59de19729dccdf8233c50499e8767081be9b4760fa0b6b4abf4017167e9dc8c3;false;ATIVO
Catarina Mendes;2004-12-12;567567567;Rua de Miguel Bombarda 16, Porto;260015;1;260015@issmf.pt;SHA256:7b0fd856dff9ab1d4622478dd40e7079a4a5d6a9f895ca8374b1f9911772df9a;false;ATIVO
